"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        Bachelor's degree","312,934","±4,546","18,259","±1,046","182,081","±4,075","160,369","±3,523","2,446,766","±16,033","258,637","±3,865","240,270","±4,111","38,350","±1,859","21,647","±1,442","597,915","±8,088","463,294","±6,920","96,966","±2,284","74,000","±2,377","1,075,374","±9,114","455,302","±6,125","269,698","±3,355","204,675","±2,930","248,230","±3,998","344,219","±6,552","94,416","±2,255","281,684","±4,347","638,332","±6,102","855,034","±7,235","532,775","±4,493","173,239","±4,040","433,562","±5,806","70,688","±1,968","159,435","±2,453","37,082","±1,644","59,345","±1,746","640,118","±6,882","81,233","±2,295","1,528,758","±10,694","563,637","±6,527","66,027","±1,782","953,562","±8,117","235,814","±3,464","200,338","±4,129","1,130,462","±9,271","76,483","±2,195","236,900","±3,906","64,490","±1,772","358,412","±5,669","1,690,361","±13,683","208,724","±3,201","34,057","±1,319","400,643","±5,360","387,012","±5,111","98,984","±2,534","517,030","±5,401","20,873","±1,030","",""
"        Graduate or professional degree","167,110","±3,691","8,194","±672","82,246","±2,609","82,654","±2,256","1,183,891","±11,178","115,090","±2,593","159,129","±3,165","18,616","±982","15,918","±1,156","281,268","±5,777","262,164","±4,229","42,883","±1,521","27,804","±1,581","599,984","±6,560","215,581","±3,443","107,631","±2,358","97,335","±2,154","164,487","±3,442","172,803","±3,999","39,679","±1,428","170,791","±3,235","374,937","±5,465","466,321","±5,340","222,633","±3,089","105,999","±3,019","231,375","±3,591","26,311","±1,106","71,055","±1,749","16,120","±1,049","26,473","±1,137","325,051","±5,247","45,979","±2,042","1,192,330","±10,734","246,272","±4,407","20,851","±1,007","502,696","±6,214","110,124","±2,458","89,019","±2,511","634,841","±7,817","38,636","±1,534","128,224","±3,139","25,549","±1,194","185,702","±4,375","734,715","±9,760","95,403","±2,338","12,910","±824","207,176","±4,306","171,082","±3,102","61,623","±2,142","218,834","±2,904","10,425","±743","",""
"    Born in other state in the United States:","1,004,055","±7,629","283,706","±2,651","2,769,045","±9,960","781,220","±6,238","5,443,613","±20,370","2,197,921","±7,841","765,081","±6,674","352,093","±3,532","266,907","±3,349","7,270,264","±18,780","2,814,384","±16,684","271,156","±3,043","631,967","±5,009","1,802,117","±10,515","1,354,284","±7,794","541,900","±4,582","726,819","±5,677","905,285","±7,129","624,351","±7,258","367,267","±3,779","1,734,721","±7,795","1,081,080","±9,694","1,288,157","±7,247","1,039,335","±6,919","571,957","±5,587","1,411,040","±9,017","371,887","±3,660","394,181","±4,033","1,289,817","±6,054","572,957","±3,568","1,624,137","±9,314","593,614","±4,072","1,843,415","±13,507","2,850,016","±11,367","170,014","±2,919","1,835,486","±9,308","992,686","±5,414","1,514,007","±7,909","1,873,567","±10,595","215,536","±3,280","1,516,778","±7,758","211,886","±2,252","1,894,141","±10,003","4,918,350","±19,434","664,437","±6,051","220,666","±2,309","2,454,516","±10,915","2,287,836","±9,807","385,429","±3,894","1,042,932","±6,519","240,442","±2,752","",""
"        Less than high school graduate","92,426","±2,487","12,134","±801","166,508","±4,019","77,446","±2,389","299,719","±5,451","84,105","±2,405","34,993","±1,551","21,144","±1,054","9,089","±822","496,166","±7,951","175,303","±4,060","7,244","±748","39,718","±1,539","128,667","±2,334","130,465","±3,327","37,600","±1,444","45,724","±1,623","82,610","±2,711","57,087","±2,389","15,848","±900","85,393","±2,710","38,829","±1,668","113,508","±2,307","44,901","±1,583","60,911","±2,108","114,118","±2,543","20,250","±1,080","23,314","±1,070","95,579","±2,439","26,726","±1,350","83,383","±2,376","39,712","±1,877","118,356","±2,821","164,681","±4,555","9,897","±901","173,250","±2,902","89,752","±1,958","88,345","±2,200","125,233","±2,595","10,759","±902","98,586","±3,271","12,090","±729","152,254","±3,213","296,629","±5,946","28,427","±1,290","8,982","±618","107,709","±2,843","108,758","±2,928","36,613","±1,338","70,271","±1,900","13,615","±956","",""
"        High school graduate (includes equivalency)","252,418","±4,076","68,040","±1,852","622,467","±7,367","246,747","±4,330","883,564","±7,486","381,305","±5,224","142,928","±3,022","98,714","±2,646","21,939","±1,507","1,969,225","±16,503","623,120","±7,982","50,103","±1,912","155,995","±3,100","359,410","±4,698","388,227","±5,262","134,244","±2,135","163,574","±2,747","248,985","±4,126","168,636","±3,589","81,543","±1,919","332,752","±4,393","143,937","±3,082","318,515","±4,053","194,485","±3,120","162,864","±3,366","370,365","±4,272","93,926","±2,336","88,778","±1,612","359,208","±4,329","138,736","±2,421","367,526","±5,041","126,271","±3,101","315,041","±4,698","582,449","±7,347","43,000","±1,454","502,595","±4,842","289,560","±3,352","309,389","±5,310","471,773","±5,863","42,969","±1,666","360,285","±5,210","55,807","±1,522","502,517","±6,218","1,013,969","±9,490","123,629","±3,378","42,451","±1,332","439,451","±5,136","445,062","±5,919","136,390","±2,778","246,732","±3,455","65,845","±1,895","",""
"        Some college or associate's degree","319,020","±4,198","103,107","±2,133","1,004,400","±8,222","251,658","±3,975","1,648,684","±9,022","651,213","±6,063","174,245","±3,471","99,405","±2,631","27,922","±1,488","2,344,169","±14,987","862,576","±9,066","93,201","±2,387","232,706","±3,549","470,245","±5,343","403,003","±5,027","174,736","±2,801","227,448","±3,235","283,705","±4,033","189,758","±4,307","104,710","±2,304","448,017","±5,852","198,888","±3,306","390,364","±3,524","303,317","±4,006","196,718","±4,092","439,058","±5,198","122,043","±2,696","133,703","±2,644","483,471","±5,971","164,017","±2,663","385,343","±5,078","198,889","±3,357","376,216","±4,289","911,706","±7,123","62,300","±1,821","516,640","±5,166","330,660","±3,953","522,258","±4,936","477,404","±6,069","55,580","±1,878","489,276","±6,102","72,930","±1,717","583,956","±6,473","1,597,284","±11,506","236,247","±3,237","54,372","±1,658","668,667","±6,980","781,829","±7,115","113,524","±2,568","326,274","±4,130","87,165","±1,970","",""
"        Bachelor's degree","203,696","±3,811","59,845","±1,785","599,684","±6,617","129,277","±3,114","1,503,458","±10,850","662,021","±6,922","215,869","±3,354","75,633","±2,348","86,141","±2,315","1,511,246","±12,884","701,895","±7,617","69,856","±1,905","133,129","±2,957","477,875","±5,002","260,983","±4,329","122,206","±2,538","176,986","±3,225","169,626","±3,257","125,139","±3,458","94,728","±2,545","435,097","±4,787","340,249","±5,129","265,033","±3,231","304,632","±3,906","90,615","±2,659","289,378","±4,967","86,180","±1,753","93,809","±2,020","222,713","±3,977","145,999","±2,879","455,728","±5,600","121,714","±2,231","558,818","±7,437","736,815","±8,057","38,047","±1,582","376,048","±5,133","182,436","±3,299","357,103","±4,581","448,970","±5,891","57,943","±1,610","353,183","±5,356","46,878","±1,509","407,612","±5,153","1,267,219","±11,048","178,882","±3,341","62,888","±1,423","660,649","±7,152","580,255","±6,700","57,410","±1,898","243,956","±3,120","45,683","±1,493","",""
"        Graduate or professional degree","136,495","±3,796","40,580","±1,358","375,986","±5,302","76,092","±2,416","1,108,188","±10,127","419,277","±4,969","197,046","±4,000","57,197","±2,129","121,816","±2,742","949,458","±9,080","451,490","±7,084","50,752","±1,568","70,419","±2,934","365,920","±5,258","171,606","±3,575","73,114","±2,175","113,087","±2,359","120,359","±3,129","83,731","±2,751","70,438","±2,115","433,462","±5,257","359,177","±5,387","200,737","±3,212","192,000","±3,464","60,849","±2,393","198,121","±4,116","49,488","±1,737","54,577","±1,431","128,846","±2,618","97,479","±2,294","332,157","±4,739","107,028","±2,997","474,984","±7,041","454,365","±6,610","16,770","±992","266,953","±4,721","100,278","±2,347","236,912","±4,043","350,187","±4,970","48,285","±1,606","215,448","±4,293","24,181","±1,118","247,802","±4,903","743,249","±9,168","97,252","±2,475","51,973","±1,564","578,040","±7,486","371,932","±5,541","41,492","±1,812","155,699","±3,119","28,134","±1,325","",""
"    Native; born outside the United States:","34,231","±1,630","12,279","±1,217","72,677","±2,535","15,412","±1,159","373,396","±5,529","65,018","±2,303","104,626","±2,381","13,555","±1,115","11,829","±906","625,885","±8,578","109,931","±3,439","28,608","±1,196","13,716","±1,076","102,645","±2,861","32,936","±1,512","14,056","±1,003","18,699","±996","24,678","±1,204","23,493","±1,339","12,128","±868","65,705","±2,138","148,951","±3,519","52,968","±1,835","28,268","±1,255","15,191","±974","34,576","±1,585","6,608","±513","10,905","±772","38,625","±1,660","13,437","±839","167,871","±3,171","17,372","±1,228","385,388","±5,340","92,207","±2,562","4,124","±550","74,557","±2,461","29,264","±1,284","35,777","±1,700","180,644","±3,727","18,480","±1,491","42,262","±1,998","3,798","±420","42,737","±1,672","305,333","±5,637","21,993","±1,040","4,560","±395","118,587","±2,900","96,749","±2,475","7,764","±755","35,264","±1,227","3,358","±499","",""
"        Less than high school graduate","2,787","±515","644","±215","7,890","±1,089","1,019","±293","41,278","±1,995","4,152","±630","34,064","±1,433","2,338","±353","610","±209","92,945","±3,487","9,461","±823","1,849","±372","715","±240","20,488","±1,412","3,997","±505","1,556","±346","1,186","±294","1,634","±307","1,884","±391","705","±174","4,336","±430","41,543","±1,775","6,607","±606","2,190","±404","1,470","±470","2,563","±462","376","±122","1,022","±275","4,000","±638","1,591","±308","43,923","±1,852","1,431","±314","113,197","±3,113","7,975","±933","150","±70","12,332","±787","2,514","±326","2,379","±335","47,282","±2,409","4,443","±702","4,187","±824","424","±143","3,633","±620","34,409","±1,498","1,364","±318","181","±82","6,786","±682","6,304","±770","563","±143","5,439","±591","112","±80","",""
