"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        High school graduate (includes equivalency)","6,642","±612","3,405","±658","14,348","±1,019","3,914","±610","66,120","±2,021","12,648","±1,169","31,253","±1,661","4,601","±613","954","±309","166,308","±5,010","23,645","±1,919","7,255","±720","3,372","±533","25,486","±1,270","8,959","±691","2,797","±359","3,495","±393","5,659","±541","5,274","±545","3,145","±437","10,698","±837","41,605","±1,907","12,089","±908","4,760","±441","3,833","±537","8,469","±743","1,602","±301","2,206","±282","10,480","±820","2,803","±372","52,582","±2,175","3,064","±391","100,486","±2,452","17,037","±1,337","1,080","±261","18,929","±1,138","7,593","±626","6,311","±689","57,664","±2,096","6,110","±772","8,777","±887","1,028","±253","10,222","±927","59,418","±2,302","4,580","±565","627","±117","19,498","±1,187","20,565","±1,148","2,190","±421","9,301","±733","523","±168","",""
"        Some college or associate's degree","12,057","±890","4,356","±514","25,664","±1,263","5,369","±588","114,876","±2,729","20,074","±1,254","23,023","±1,327","3,659","±650","1,696","±371","191,936","±4,649","33,774","±1,644","9,511","±719","4,260","±515","26,162","±1,530","10,034","±815","4,657","±504","6,656","±656","9,028","±754","7,631","±901","3,809","±506","17,279","±1,212","30,773","±1,611","16,129","±774","8,765","±870","5,303","±660","11,261","±930","2,111","±265","3,741","±539","14,316","±998","3,803","±533","35,136","±1,574","6,176","±745","80,612","±3,012","31,639","±1,446","1,646","±391","21,102","±1,265","10,119","±715","11,441","±777","40,729","±1,946","3,742","±625","14,671","±1,221","1,024","±222","13,327","±961","96,392","±3,294","7,580","±597","1,198","±245","34,646","±1,715","33,173","±1,467","2,683","±386","10,403","±691","1,516","±298","",""
"        Bachelor's degree","7,316","±882","2,586","±455","15,334","±1,243","3,237","±524","96,959","±2,763","17,530","±1,055","9,140","±762","1,701","±316","3,252","±455","115,829","±3,762","26,847","±1,510","6,558","±602","3,827","±707","18,138","±1,068","6,034","±619","3,086","±507","4,383","±448","4,697","±646","5,891","±708","2,641","±455","17,880","±1,103","19,111","±1,033","10,753","±815","7,765","±588","2,967","±522","7,242","±665","1,621","±302","2,235","±305","6,498","±540","3,324","±501","23,140","±1,290","3,675","±580","51,032","±1,601","22,078","±1,259","898","±196","13,218","±1,150","5,669","±553","10,022","±991","20,645","±1,101","2,425","±413","9,029","±951","747","±181","10,180","±953","74,391","±2,907","5,462","±589","1,455","±236","32,470","±1,770","23,680","±1,212","1,396","±277","6,096","±625","476","±159","",""
"        Graduate or professional degree","5,429","±635","1,288","±345","9,441","±930","1,873","±348","54,163","±1,897","10,614","±676","7,146","±703","1,256","±296","5,317","±589","58,867","±2,508","16,204","±1,282","3,435","±387","1,542","±354","12,371","±840","3,912","±624","1,960","±346","2,979","±390","3,660","±578","2,813","±493","1,828","±266","15,512","±955","15,919","±1,045","7,390","±665","4,788","±564","1,618","±348","5,041","±593","898","±190","1,701","±307","3,331","±516","1,916","±327","13,090","±897","3,026","±479","40,061","±1,954","13,478","±911","350","±123","8,976","±872","3,369","±474","5,624","±594","14,324","±953","1,760","±376","5,598","±620","575","±170","5,375","±535","40,723","±2,053","3,007","±337","1,099","±210","25,187","±1,019","13,027","±922","932","±254","4,025","±500","731","±304","",""
"    Foreign born:","139,288","±2,625","49,596","±1,646","835,488","±8,529","124,841","±2,569","9,526,941","±31,043","462,702","±5,331","456,712","±5,625","78,618","±2,041","82,055","±2,588","3,915,803","±20,250","921,937","±9,418","231,379","±4,461","86,960","±2,438","1,589,208","±10,188","287,989","±4,230","133,963","±2,344","170,401","±2,972","138,787","±3,109","161,509","±2,781","40,211","±1,341","793,537","±6,713","993,086","±8,412","577,085","±6,207","384,568","±4,117","57,571","±2,084","209,340","±3,519","19,771","±1,109","112,555","±2,102","532,748","±5,235","71,020","±1,943","1,791,801","±10,243","170,062","±3,757","3,914,349","±16,875","705,146","±6,693","24,992","±1,018","451,398","±6,016","199,196","±2,628","358,582","±5,132","760,570","±7,928","128,446","±3,044","222,155","±4,077","26,203","±1,287","283,135","±4,572","4,180,330","±21,890","221,327","±3,500","22,563","±983","918,775","±7,585","941,556","±7,359","24,835","±1,082","243,645","±3,232","16,325","±1,037","",""
"        Less than high school graduate","39,709","±1,682","6,968","±722","268,175","±5,291","46,833","±1,904","3,034,149","±20,958","132,631","±3,196","86,516","±2,829","17,268","±1,240","14,625","±1,061","788,758","±9,866","229,292","±5,558","41,255","±1,807","31,162","±1,491","399,978","±5,071","80,308","±2,970","40,434","±1,382","57,185","±1,987","32,311","±1,560","43,982","±1,972","6,065","±702","154,191","±3,394","200,066","±4,371","113,408","±2,613","93,399","±2,177","17,335","±1,219","41,086","±1,979","2,333","±368","43,488","±1,564","155,171","±3,341","11,081","±1,068","320,885","±5,683","67,443","±2,582","932,016","±10,997","204,303","±4,110","3,708","±587","79,052","±3,194","71,570","±1,821","103,754","±3,263","148,163","±4,251","33,289","±1,936","53,580","±2,217","6,440","±751","76,157","±2,759","1,533,675","±15,544","54,934","±1,964","2,965","±376","165,557","±4,391","202,616","±4,128","3,100","±444","62,420","±1,820","4,429","±617","",""
"        High school graduate (includes equivalency)","30,411","±1,430","14,351","±953","190,449","±4,281","31,159","±1,897","1,836,764","±15,244","104,915","±3,236","115,423","±3,230","18,022","±1,141","11,417","±1,226","1,067,200","±13,843","196,353","±4,806","62,496","±1,892","20,679","±1,388","372,916","±6,035","61,242","±2,324","30,384","±1,367","35,996","±1,465","33,742","±1,758","42,888","±1,761","9,347","±691","142,099","±3,695","223,439","±4,830","109,900","±2,977","75,604","±2,111","13,354","±1,126","42,865","±1,983","4,155","±498","23,592","±962","139,477","±3,644","15,252","±1,203","428,753","±6,928","37,308","±2,194","987,041","±10,574","142,049","±4,063","4,802","±515","94,459","±3,185","49,249","±1,821","66,995","±2,491","170,605","±4,247","38,199","±1,974","53,452","±2,271","7,460","±952","67,233","±2,577","863,542","±11,850","56,253","±2,201","3,817","±373","171,997","±4,038","174,182","±4,448","5,424","±606","55,478","±2,123","4,798","±655","",""
"        Some college or associate's degree","25,104","±1,475","14,062","±939","172,938","±3,900","17,656","±1,302","1,792,580","±9,524","85,472","±2,932","87,373","±2,523","14,038","±1,112","10,129","±905","914,482","±10,792","165,524","±4,482","63,589","±2,149","17,493","±1,280","280,702","±5,115","47,063","±2,063","23,725","±1,275","28,052","±1,348","24,461","±1,099","28,688","±1,301","9,354","±547","148,495","±3,305","173,164","±3,985","103,914","±2,440","81,583","±2,593","10,970","±976","39,524","±1,916","4,973","±604","18,972","±1,047","119,693","±3,361","14,538","±1,021","318,385","±4,939","29,678","±1,537","728,483","±7,448","121,549","±2,919","6,772","±681","83,801","±3,234","33,165","±1,447","73,807","±2,450","134,714","±3,233","22,846","±1,357","45,199","±2,087","4,732","±583","45,856","±1,997","671,593","±7,422","50,800","±2,106","4,835","±519","180,896","±3,939","204,508","±3,756","4,723","±639","44,840","±1,530","2,721","±441","",""
"        Bachelor's degree","22,728","±1,227","9,471","±863","114,129","±3,626","15,765","±1,460","1,717,644","±12,366","77,801","±1,992","86,180","±2,480","13,408","±1,119","15,768","±948","713,603","±7,749","185,275","±4,805","45,299","±1,860","10,136","±921","303,624","±4,775","48,582","±1,886","20,058","±1,205","24,300","±1,301","25,331","±1,054","24,749","±1,411","7,961","±683","172,862","±3,745","183,761","±3,682","120,297","±2,787","73,887","±2,195","7,745","±817","40,077","±1,693","4,694","±540","13,833","±815","82,212","±2,380","15,146","±1,099","411,164","±5,728","17,253","±1,358","716,322","±7,960","126,442","±3,295","4,990","±535","95,349","±2,847","24,447","±1,184","59,897","±1,803","154,234","±3,558","19,130","±1,507","39,282","±1,650","4,285","±536","50,743","±2,576","639,114","±8,949","36,868","±1,626","5,540","±473","210,317","±3,999","193,002","±3,478","5,808","±606","39,436","±1,426","2,364","±431","",""
"        Graduate or professional degree","21,336","±1,022","4,744","±602","89,797","±2,868","13,428","±1,063","1,145,804","±9,257","61,883","±1,946","81,220","±2,522","15,882","±1,087","30,116","±1,797","431,760","±6,741","145,493","±3,398","18,740","±1,121","7,490","±697","231,988","±4,096","50,794","±1,909","19,362","±1,020","24,868","±1,553","22,942","±1,293","21,202","±1,347","7,484","±826","175,890","±3,934","212,656","±3,980","129,566","±2,724","60,095","±1,965","8,167","±797","45,788","±1,873","3,616","±536","12,670","±940","36,195","±1,797","15,003","±1,049","312,614","±4,677","18,380","±1,387","550,487","±7,214","110,803","±2,777","4,720","±680","98,737","±2,390","20,765","±1,325","54,129","±2,025","152,854","±3,413","14,982","±894","30,642","±1,486","3,286","±433","43,146","±1,634","472,406","±6,417","22,472","±1,182","5,406","±482","190,008","±3,204","167,248","±3,930","5,780","±553","41,471","±1,762","2,013","±375","",""
